"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"AUTOBOOT_OFF";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"C1";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";
"C2";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";
"C3";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";
"C4";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";
"C5";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";
"C6";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";
"C7";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";
"C8";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";
"C9";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";
"C10";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";
"C11";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";
"C12";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";
"CN1";"A500-EXPANSION-SLOT-SOLDER";"A500-EXPANSION-SLOT-SOLDER";"LKONT_43-SLOT-SOLDER";"";"";"";"";"";
"IC2";"XC95288XL-TQ144";"XC95288XL-TQ144";"TQFP144";"";"";"";"";"";
"IC3";"74HCT245PW";"74HCT245PW";"TSSOP20";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";
"IC4";"74HCT245PW";"74HCT245PW";"TSSOP20";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";
"IC5";"74HCT245PW";"74HCT245PW";"TSSOP20";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";
"IC6";"AS4C4M16S-6TCN";"AS4C4M16S-6TCN";"TSOP-2_54";"";"";"";"";"";
"IC7";"LD117AS33TR";"LD117AS33TR";"SOT223";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";
"IC8";"AM29F010J-SOCKET";"AM29F010J-SOCKET";"PLCC-32-SMT-TT";"1-Megabit FLASH MEMORY";"";"";"";"";
"IC10";"50MHz";"CSX-750FCFC(5V)";"7X5";"CITIZEN Crystal Clock Oscilator from http://cfm.citizen.co.jp/english/product/pdf/CSX-750F.pdf";"";"";"";"";
"JP1";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"JP2";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"MEM_OFF";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"R1";"330";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";
"R2";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";
"R3";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";
"R4";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";
"R5";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";
"R6";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";
"R7";"750mA";"R-EU_R2512";"R2512";"RESISTOR, European symbol";"";"";"";"";
"R8";"FERRITE";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";
"R9";"47";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";
"RN1";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN2";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN3";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN4";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN5";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN6";"4.7k";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN7";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN8";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN9";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN10";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN11";"33";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"unknown";"unknown";
"SV1";"";"ML40";"ML40";"HARTING";"";"";"unknown";"unknown";
"SV2";"";"ML10L";"ML10L";"HARTING";"";"";"unknown";"unknown";
